Museen,Staedte,Webseiten
Museum LA8- Museum für Kunst und Technik des 19. Jahrhunderts,Baden-Baden,www.museum.la8.de
Stadtmuseum Baden-Baden,Baden-Baden,www.stadtmuseum-baden-baden.de
Natureum Niederelbe und Elbe-Küsten-Park,Balje,www.natureum-niederelbe.de
Museen der Stadt Bamberg,Bamberg,museum.bamberg.de
Naturkundemuseum Bamberg,Bamberg,www.naturkundemuseum-bamberg.de
Geschichtspark Bärnau-Tachov,Bärnau,www.geschichtspark.de
Vineta-Museum Barth,Barth,www.vineta-museum.de
Historisches Museum Basel,Basel,www.hmb.ch
Museum Bautzen,Bautzen,www.museum-bautzen.de
Deutsches Freimaurer-Museum,Bayreuth,www.freimaurermuseum.de
Historisches Museum Bayreuth,Bayreuth,www.historisches-museum-bayreuth.de
Iwalewahaus Bayreuth,Bayreuth,www.iwalewa.uni-bayreuth.de
Kunstmuseum Bayreuth,Bayreuth,www.kunstmuseum-bayreuth.de
Richard Wagner Museum Bayreuth,Bayreuth,www.wagnermuseum.de
Stiftung Museum Schloss Moyland,Bedburg-Hau,www.moyland.de
Kunstarchiv Beeskow,Beeskow,www.kunstarchiv-beeskow.de
Regionalmuseum in der Burg Beeskow,Beeskow,www.burg-beeskow.de
Stiftung Sayner Hütte,Bendorf,www.saynerhuette.org
Dokumentation Obersalzberg,Berchtesgaden,www.obersalzberg.de
"Bergisches Museum für Bergbau, Handwerk und Gewerbe",Bergisch Gladbach,www.bergisches-museum.de
Kunstmuseum Villa Zanders,Bergisch Gladbach,www.villa-zanders.de
LVR-Industriemuseum Papiermühle Alte Dombach,Bergisch Gladbach,www.industriemuseum.lvr.de/papiermuehlealtedombach
"Ägyptisches Museum – Papyrussammlung, Staatliche Museen zu Berlin",Berlin,www.smb.spk-berlin.de/aemp/s.html
Akademie der Künste,Berlin,www.adk.de
AlliiertenMuseum e.V.,Berlin,www.alliiertenmuseum.de
Anne Frank Zentrum e.V.,Berlin,www.annefrank.de
"Antikensammlung, Staatliche Museen zu Berlin",Berlin,www.smb.museum/museen-einrichtungen/antikensammlung/home.html
Arsenal – Institut für Film und Videokunst e.V.,Berlin,www.arsenal-berlin.de/home.html
Bauhaus-Archiv e.V.,Berlin,www.bauhaus.de
Berliner Medizinhistorisches Museum der Charité,Berlin,www.bmm.charite.de
Berliner S-Bahn-Museum GbR,Berlin,www.s-bahn-museum.de
Berliner Unterwelten e.V.,Berlin,www.berliner-unterwelten.de
Berlinische Galerie,Berlin,www.berlinischegalerie.de
Bernhard-Heiliger-Stiftung,Berlin,www.bernhard-heiliger-stiftung.de
"Bode-Museum, Staatliche Museen zu Berlin",Berlin,www.smb.museum
Botanisches Museum Berlin,Berlin,www.bgbm.org
Bröhan-Museum,Berlin,www.broehan-museum.de
Brücke-Museum,Berlin,www.bruecke-museum.de
Bundesverband Deutscher Kinder- und Jugendmuseen,Berlin,www.bv-kindermuseum.de
C/O Berlin Foundation,Berlin,www.co-berlin.org
Camaro Haus,Berlin,https://camaro-stiftung.de/
Cold War Museum Berlin,Berlin,www.coldwarmuseum.de
Computerspielemuseum,Berlin,www.computerspielemuseum.de
Dali Berlin Ausstellungsbetriebs GmbH,Berlin,www.daliberlin.de
DDR Museum,Berlin,www.ddr-museum.de
Deutsche Bank Kunsthalle,Berlin,www.deutsche-bank-kunsthalle.de
Deutsche Kinemathek- Museum für Film und Fernsehen,Berlin,www.deutsche-kinemathek.de
Deutsches Historisches Museum,Berlin,www.dhm.de
Deutsches Spionagemuseum,Berlin,www.deutsches-spionagemuseum.de
DIE MAUER | THE WALL,Berlin,diemauerthewall.de
Dokumentationszentrum Prora e.V.,Berlin,www.prora.eu
"Ethnologisches Museum, Staatliche Museen zu Berlin",Berlin,www.smb.museum
Forum Willy Brandt Berlin,Berlin,www.willy-brandt.de
Futurium gGmbH,Berlin,www.futurium.de
Galerie Parterre Berlin/Kunstsammlung Pankow,Berlin,www.berlin.de/kunst-und-kultur-pankow/Kunstsammlung
Gedenk- und Ausstellungsort Friedhof der Märzgefallenen,Berlin,www.friedhof-der-maerzgefallenen.de/gedenkortneu
"Gemäldegalerie, Staatliche Museen zu Berlin",Berlin,www.smb.spk-berlin.de/gg/s.html
Georg Kolbe Museum,Berlin,www.georg-kolbe-museum.de
"Hamburger Bahnhof, Museum für Gegenwart, Staatliche Museen zu Berlin",Berlin,www.smb.spk-berlin.de
Hugenottenmuseum,Berlin,www.hugenottenmuseum-berlin.de
Käthe-Kollwitz-Museum Berlin,Berlin,www.kaethe-kollwitz.berlin
Kommunale Galerien des Bezirks Steglitz-Zehlendorf,Berlin,https://www.berlin.de/ba-steglitz-zehlendorf/auf-einen-blick/kultur/
KUNST-WERKE BERLIN – KW Institute for Contemporary Art,Berlin,www.kw-berlin.de
"Kunstbibliothek, Staatliche Museen zu Berlin",Berlin,www.smb.spk-berlin.de/kb/s.html
"Kunstgewerbemuseum, Staatliche Museen zu Berlin",Berlin,www.smb.museum
"Kupferstichkabinett, Staatliche Museen zu Berlin",Berlin,www.smb.museum
Liebermann-Villa am Wannsee,Berlin,www.liebermann-villa.de
MAGICUM Berlin Magic Museum,Berlin,www.magicum-berlin.de
Martin-Gropius-Bau,Berlin,www.gropiusbau.de
Mitte Museum,Berlin,www.mittemuseum.de
"Münzkabinett, Staatliche Museen zu Berlin",Berlin,www.smb.spk-berlin.de/mk
Museen Tempelhof-Schöneberg,Berlin,www.museentempelhof-schoenberg.de
Museum Berlin-Karlshorst e.V.,Berlin,www.museum-karlshorst.de
Museum Charlottenburg-Wilmersdorf,Berlin,www.villa-oppenheim-berlin.de
"Museum Europäischer Kulturen, Staatliche Museen zu Berlin",Berlin,www.smb.museum/museen-einrichtungen/museum-europaeischer-kulturen/home/
"Museum für Asiatische Kunst, Staatliche Museen zu Berlin",Berlin,www.smb.museum/oak.de
"Museum für Islamische Kunst, Staatliche Museen zu Berlin",Berlin,www.smb.spk-berlin.de/isl/s.html
Museum für Kommunikation Berlin,Berlin,www.mfk-berlin.de
Museum für Naturkunde Berlin,Berlin,www.naturkundemuseum.berlin
"Museum für Vor- und Frühgeschichte, Staatliche Museen zu Berlin",Berlin,www.smb.museum
Museum Lichtenberg im Stadthaus,Berlin,www.museum-lichtenberg.de
Museum Neukölln,Berlin,www.museum-neukoelln.de
Museum Reinickendorf,Berlin,www.museum-reinickendorf.de
Musikinstrumenten-Museum des Staatlichen Instituts für Musikforschung,Berlin,https://www.simpk.de/museum.html
SAMURAI Museum Berlin,Berlin,https://samuraimuseum.de/
Schwules Museum*,Berlin,www.schwulesmuseum.de
Sportmuseum Berlin,Berlin,https://sportmuseum.hypotheses.org
Stadtgeschichtliches Museum Spandau,Berlin,www.zitadelle-berlin.de
Stiftung Berliner Mauer,Berlin,www.stiftung-berliner-mauer.de
Stiftung Deutsches Technikmuseum,Berlin,www.technikmuseum.berlin
Stiftung Domäne Dahlem,Berlin,www.domaene-dahlem.de
"Stiftung Flucht, Vetreibung, Versöhnung",Berlin,www.sfvv.de
Stiftung Gedenkstätte Berlin- Hohenschönhausen,Berlin,www.stiftung-hsh.de
Stiftung Jüdisches Museum Berlin,Berlin,www.jmberlin.de
Stiftung Kunstforum Berliner Volksbank,Berlin,www.kunstforum.berlin
Stiftung Neue Synagoge Berlin – Centrum Judaicum,Berlin,https://centrumjudaicum.de/
Stiftung Planetarium Berlin,Berlin,www.planetarium.berlin
Stiftung Stadtmuseum Berlin,Berlin,www.stadtmuseum.de
Stiftung Topographie des Terrors,Berlin,www.topographie.de
"Vorderasiatisches Museum, Staatliche Museen zu Berlin",Berlin,www.smb.museum/museen-un-einrichtungen/vorderasiatischesmuse
Werkbundarchiv – Museum der Dinge,Berlin,www.museumderdinge.de
Militärhistorisches Museum der Bundeswehr Flugplatz Berlin-Gatow,Berlin-Gatow,www.mhm-gatow.de
Bernisches Historisches Museum,Bern,www.bhm.ch
Besucherzentrum Bernau für das UNESCO-Welterbe Bauhaus,Bernau bei Berlin,www.welterbe-bernau.de
Heimatmuseum Bernau bei Berlin,Bernau bei Berlin,www.bernau-bei-berlin.de
Museum Schloss Bernburg,Bernburg,www.museumschlossbernburg.de
Buchheim Museum der Phantasie,Bernried am Starnberger See,www.buchheimmuseum.de
Kreismuseum Bersenbrück,Bersenbrück,www.museum-bersenbrueck.de
Sauerländer Besucherbergwerk,Bestwig,www.sauerlaender-besucherbergwerk.de
Freilichtmuseum Beuren,Beuren,www.freilichtmuseum-beuren.de
Museum Biberach,Biberach a.d. Riß,www.museum-biberach.de
Hinterlandmuseum Schloss Biedenkopf,Biedenkopf,www.marburg-biedenkopf.de/hinterlandmuseum
Historisches Museum Bielefeld,Bielefeld,www.historische-museen-bielefeld.de
Kunsthalle Bielefeld,Bielefeld,www.kunsthalle-bielefeld.de
Naturkunde-Museum Bielefeld,Bielefeld,www.namu-ev.de
Stiftung Tri-Ergon Filmwerk / MuMa-Forum,Bielefeld,www.muma-forum.de
Städtische Galerie Bietigheim-Bissingen,Bietigheim-Bissingen,galerie.bietigheim-bissingen.de
Stadtmuseum Hornmoldhaus,Bietigheim-Bissingen,stadtmuseum.bietigheim-bissingen.de
Historisches Museum am Strom – Hildegard von Bingen,Bingen,www.bingen.de
Urgeschichtliches Museum Blaubeuren,Blaubeuren,www.urmu.de
Deutsches Fleischermuseum,Böblingen,www.fleischermuseum.boeblingen.de
Städtische Galerie Böblingen,Böblingen,www.staedtischegalerie.boeblingen.de
Stadtmuseum Bocholt,Bocholt,www.stadtmuseum-bocholt.de
Deutsches Bergbau-Museum Bochum,Bochum,www.bergbaumuseum.de
Kunstmuseum Bochum,Bochum,www.kunstmuseum-bochum.de
Stadtarchiv- Bochumer Zentrum für Stadtgeschichte,Bochum,www.bochum.de/stadtarchiv
Tierpark und Fossilium Bochum,Bochum,www.tierpark-bochum.de
Beethoven-Haus Bonn,Bonn,www.beethoven-haus.de
Bundeskunsthalle,Bonn,www.kah-bonn.de
Kunstmuseum Bonn,Bonn,www.kunstmuseum-bonn.de
LVR-LandesMuseum Bonn,Bonn,www.landesmuseum-bonn.lvr.de
Museum August Macke Haus,Bonn,www.august-macke-haus.de
Museumsstiftung Post u. Telekommunikation,Bonn,www.museumsstiftung.de
Stadtmuseum Bonn,Bonn,www2.bonn.de/stadtmuseum
Stiftung Haus der Geschichte der Bundesrepublik Deutschland,Bonn,www.hdg.de
Zoologisches Forschungsmuseum Alexander Koenig,Bonn,www.zfmk.de
Sammlung Zander gGmbH,Bönnigheim,www.sammlung-zander.de
FARB Forum Altes Rathaus Borken,Borken,www.farb.borken.de
Hessisches Braunkohle Bergbaumuseum,Borken,www.braunkohle-bergbaumuseum.de
Museum der Stadt Borna,Borna,www.museum-borna.de
Museumszentrum Quadrat Bottrop,Bottrop,www.quadrat-bottrop.de
Naturmuseum Südtirol,Bozen,www.naturmuseum.it
Schiffahrtsmuseum Unterweser,Brake,www.schiffahrtsmuseum-unterweser.de
Tuchmacher Museum Bramsche,Bramsche,www.tuchmachermuseum.de
Varusschlacht im Osnabrücker Land gGmbH,Bramsche-Kalkriese,www.kalkriese-varusschlacht.de
Dommuseum Brandenburg,Brandenburg an der Havel,www.dom-brandenburg.de
Industriemuseum Brandenburg an der Havel,Brandenburg an der Havel,www.industriemuseum-brandenburg.de
Stadtmuseum Brandenburg an der Havel,Brandenburg an der Havel,www.stadtmuseum-brandenburg.de
Rabbinatsmuseum Braunsbach – Jüdisches Museum,Braunsbach,www.rabbinatsmuseum-braunsbach.de
Braunschweigisches Landesmuseum,Braunschweig,https://3landesmuseen-braunschweig.de/braunschweigisches-landesmuseum
GEYSO20 atelier – galerie – sammlung,Braunschweig,www.geyso20.de
Herzog Anton Ulrich-Museum,Braunschweig,https://3landesmuseen-braunschweig.de/herzog-anton-ulrich-museum
Schlossmuseum Braunschweig,Braunschweig,www.schlossmuseum-braunschweig.de
Staatliches Naturhistorisches Museum Braunschweig,Braunschweig,https://3landesmuseen-braunschweig.de/staatliches-naturhistorisches-museum
Städtisches Museum Braunschweig,Braunschweig,www.braunschweig.de/museum
botanika GmbH,Bremen,www.botanika-bremen.de
Focke-Museum,Bremen,www.focke.museum.de
Gerhard-Marcks-Stiftung,Bremen,www.marcks.de
Hafenmuseum Speicher XI,Bremen,www.hafenmuseum-speicherelf.de
Krankenhaus-Museum,Bremen,www.kulturambulanz.de
Kunsthalle Bremen,Bremen,www.kunsthalle-bremen.de
Museen Böttcherstraße Stiftungs-GmbH,Bremen,www.museen-boettcherstrasse.de
Übersee-Museum Bremen,Bremen,www.uebersee-museum.de
Weserburg Museum für moderne Kunst,Bremen,weserburg.de
Wilhelm Wagenfeld Stiftung,Bremen,www.wilhelm-wagenfeld-stiftung.de
Deutsches Auswandererhaus gemeinnützige GmbH,Bremerhaven,www.dah-bremerhaven.de
Deutsches Schifffahrtsmuseum,Bremerhaven,www.dsm.museum
Historisches Museum Bremerhaven,Bremerhaven,www.historisches-museum-bremerhaven.de
Klimahaus Bremerhaven,Bremerhaven,www.klimahaus-bremerhaven.de
Kunsthalle und Kunstmuseum Bremerhaven,Bremerhaven,www.kunstverein-bremerhaven.de
Stiftung Bachmann-Museum Bremervörde,Bremervörde,www.bachmann-museum.de
Stadtmuseum Schweizer Hof; Deutsches Schutzengel-Museum,Bretten,www.bretten.de
Deutscher Eisenbahn-Verein e.V. Niedersächsisches Kleinbahnmuseum,Bruchhausen-Vilsen,www.museumseisenbahn.de
Staatliche Schlösser und Gärten Baden-Württemberg,Bruchsal,www.schloesser-und-gaerten.de
Städtisches Museum Bruchsal,Bruchsal,www.bruchsal.de/staedtischesmuseum
Stadtmuseum Brugg,Brugg (Schweiz),www.stadtmuseumbrugg.ch
Max Ernst Museum Brühl des LVR,Brühl,www.maxernstmuseum.lvr.de
Heimatmuseum Brunsbüttel,Brunsbüttel,www.museum-brunsbuettel.de
Stadtgalerie im Elbeforum,Brunsbüttel,www.stadtgalerie-brunsbuettel.de
Bubenreutheum e.V.,Bubenreuth,www.bubenreutheum.de
Kreismuseum Wewelsburg,Büren-Wewelsburg,www.wewelsburg.de
Nationalpark-Haus Museum Fedderwardersiel,Butjadingen,www.nationalparkhaus-wattenmeer.de/fedderwardersiel
Geburtshaus Levi Strauss Museum Jeans & Kult,Buttenheim,www.levi-strauss-museum.de
Museum der Stadt Butzbach,Butzbach,www.stadt-butzbach.de
Buxtehude-Museum,Buxtehude,www.buxtehudemuseum.de
Hermann-Hesse-Museum Calw,Calw,www.calw.de/attraktionen/hermann-hesse-museum
Ostfriesisches Landwirtschaftsmuseum Campen,Campen,www.olmc.de
Celler Museen,Celle,www.bomann-museum.de
Deutsches SPIELEmuseum e.V.,Chemnitz,www.deutsches-spielemuseum.de
Industriemuseum Chemnitz,Chemnitz,www.web.saechsisches-industriemuseum.com/chemnitz.html
Kunstsammlungen Chemnitz,Chemnitz,www.kunstsammlungen-chemnitz.de
Museum für Naturkunde Chemnitz,Chemnitz,www.naturkunde-chemnitz.de
Zweckverband Sächsisches Industriemuseum,Chemnitz,www.saechsisches-industriemuseum.de
Kloster Chorin,Chorin,www.kloster-chorin.org
Bündner Naturmuseum,Chur,www.naturkundemuseum.gr.ch
Oberharzer Bergwerksmuseum,Clausthal-Zellerfeld,www.oberharzerbergwerksmuseum.de
Museumsdorf Cloppenburg,Cloppenburg,www.museumsdorf.de
Kunstsammlungen der Veste Coburg,Coburg,www.kunstsammlungen-coburg.de
Naturkunde-Museum Coburg,Coburg,www.naturkunde-museum-coburg.de
Stadtmuseum DAS TOR,Coesfeld,https://stadtmuseum.coesfeld.de/home
Brandenburgisches Landesmuseum für moderne Kunst (BLMK),Cottbus,www.blmk.de
Stadtmuseum Cottbus,Cottbus,www.stadtmuseum-cottbus.de
Stiftung Fürst-Pückler-Museum Park und Schloss Branitz,Cottbus,www.pueckler-museum.eu
Wendisches Museum Cottbus,Cottbus,https://wendisches-museum.de/
Deutsches Landwirtschaftsmuseum Schloss Blankenhain,Crimmitschau,www.deutsches-landwirtschaftsmuseum.de
Tuchfabrik Gebr. Pfau,Crimmitschau,https://web.saechsisches-industriemuseum.com/crimmitschau.html
Windstärke 10- Wrack- und Fischereimuseum Cuxhaven,Cuxhaven,www.windstaerke10.net
KZ-Gedenkstätte Dachau,Dachau,www.kz-gedenkstaette-dachau.de
Zweckverband Dachauer Galerien und Museen,Dachau,www.dachauer-galerien-museen.de
Museum am Dannewerk,Dannewerk,www.danevirkemuseum.de
Eisenbahnmuseum Darmstadt-Kranichst.,Darmstadt,www.museumsbahn.de
Hessisches Landesmuseum Darmstadt,Darmstadt,www.hlmd.de
Museum und bioversum Jagdschloss Kranichstein,Darmstadt,www.jagdschloss-kranichstein.de
Schlossmuseum Darmstadt und Großherzogliche Porzellansammlung,Darmstadt,www.schlossmuseum-darmstadt.de
Kirchner Museum Davos,Davos,www.kirchnermuseum.ch
Museen der Stadt Deggendorf,Deggendorf,www.deggendorf.de
Schulze-Delitzsch-Haus – Deutsches Genossenschaftsmuseum,Delitzsch,www.genossenschaftsmuseum.de
Nordwolle Delmenhorst Nordwestdeutsches  Museum für IndustrieKultur,Delmenhorst,www.delmenhorst.de/kultur-bildung/museum
Dinosaurier Museum Altmühltal,Denkendorf,www.dinosauriermuseum.de
Museum für Naturkunde und Vorgeschichte Dessau,Dessau,www.dessau-rosslau.de/Deutsch/Kultur-und-Tourismus/Ku
Museum für Stadtgeschichte Dessau,Dessau,www.stadtgeschichte.dessau.de
Stiftung Bauhaus Dessau,Dessau,www.bauhaus-dessau.de
Anhaltinische Gemäldegalerie Dessau,Dessau-Roßlau,https://gemaeldegalerie.dessau-rosslau.de
Fürstliches Residenzschloß Detmold,Detmold,www.schloss-detmold.de
Lippisches Landesmuseum Detmold,Detmold,www.lippisches-landesmuseum.de
LWL-Freilichtmuseum Detmold,Detmold,www.lwl-freilichtmuseum-detmold.de
Museum für russlanddeutsche Kulturgeschichte,Detmold,www.russlanddeutsche.de
Bergbaumuseum Deuben,Deuben,www.bergbaumuseum-deuben.de
Museen des Altmarkkreises Salzwedel Freilichtmuseum Diesdorf/Altmark,Diesdorf,www.museen-altmarkkreis.de
Römermuseum Pachten,Dillingen-Pachten,www.roemermuseum-pachten.de
Museum Dingolfing,Dingolfing,www.museum-dingolfing.de
Museum Voswinckelshof,Dinslaken,www.stadtmuseum-dinslaken.de
Museum Schloss Doberlug,Doberlug-Kirchhain,https://www.museumsverbund-lkee.de/Museumsverbund/Museum-Schloss-Doberlug/
Weißgerbermuseum,Doberlug-Kirchhain,www.weissgerbermuseum.de
Museum Art.Plus,Donaueschingen,www.museum-art-plus.com
Jüdisches Museum Westfalen,Dorsten,www.jmw-dorsten.de
DASA Arbeitswelt Ausstellung,Dortmund,www.dasa-dortmund.de
Deutsches Fußballmuseum,Dortmund,www.fussballmuseum.de
Hartware MedienKunstVerein e.V.,Dortmund,www.hmkv.de
LWL-Industriemuseum- Westfälisches Landesmuseum für Industriekultur,Dortmund,www.lwl-industriemuseum.de
mondo mio! Kindermuseum,Dortmund,www.mondomio.de
Museum für Kunst und Kulturgeschichte,Dortmund,https://www.dortmund.de/de/freizeit_und_kultur/museen/mkk/start_mkk/index.html
Museum Ostwall im Dortmunder U,Dortmund,https://dortmunder-u.de/museum-ostwall/
Naturmuseum Dortmund,Dortmund,www.naturmuseum.dortmund.de
Erich Kästner Museum Dresden Villa Augustin,Dresden,www.erich-kaestner-museum.de
Kulturverein Zschoner Mühle e.V.,Dresden,www.zschoner-muehle.de
Militärhistorisches Museum der Bundeswehr,Dresden,www.mhmbw.de/
Museen der Stadt Dresden,Dresden,www.museen-dresden.de
Senckenberg Naturhistorische Sammlung Dresden,Dresden,www.senckenberg.de
Staatliche Kunstsammlungen Dresden,Dresden,www.skd.museum
"Staatliche Schlösser, Burgen und Gärten Sachsen gGmbH",Dresden,www.schloesserland-sachsen.de
Stiftung Deutsches Hygiene-Museum,Dresden,www.dhmd.de
Stiftung Sächsische Gedenkstätten,Dresden,www.stsg.de
Verkehrsmuseum Dresden,Dresden,www.verkehrsmuseum-dresden.de
Kunstsammlung HGN,Duderstadt,www.kunsthallehgn.de
Kultur- und Stadthistorisches Museum Duisburg,Duisburg,www.stadtmuseum-duisburg.de
Museum der Deutschen Binnenschifffahrt,Duisburg,www.binnenschifffahrtsmuseum.de
Stiftung Wilhelm-Lehmbruck-Museum,Duisburg,www.lehmbruckmuseum.de
Leopold-Hoesch-Museum,Düren,www.leopoldhoeschmuseum.de
Stadtmuseum Düren,Düren,www.stadtmuseumdueren.de
Aquazoo Löbbecke Museum,Düsseldorf,www.duesseldorf.de/aquazoo
Filmmuseum Düsseldorf,Düsseldorf,www.duesseldorf.de/filmmuseum
Goethe-Museum Düsseldorf Schloß Jägerhof- Anton-und-Katharina-Kippenberg-Stiftung,Düsseldorf,www.goethe-museum.com/
Heinrich-Heine-Institut,Düsseldorf,www.duesseldorf.de/heineinstitut
Hetjens- Deutsches Keramikmuseum,Düsseldorf,www.duesseldorf.de/hetjens
Kunsthalle Düsseldorf gGmbH,Düsseldorf,www.kunsthalle-duesseldorf.de
Kunstsammlung Nordrhein-Westfalen,Düsseldorf,www.kunstsammlung.de
Museum und Archiv zur Geschichte der Urologie,Düsseldorf,www.museum.dgu.de
NRW Forum Düsseldorf,Düsseldorf,www.nrw-forum.de
Philara,Düsseldorf,www.philara.de
Stadtmuseum Düsseldorf,Düsseldorf,www.duesseldorf.de/stadtmuseum/
Stiftung Museum Kunstpalast,Düsseldorf,www.kunstpalast.de
Stiftung Schloss und Park Benrath,Düsseldorf,www.schloss-benrath.de
Theatermuseum der Landeshauptstadt Düsseldorf,Düsseldorf,www.duesseldorf.de/theatermuseum
Heimatmuseum Ebern,Ebern,www.heimatmuseum-ebern.de
Museum Wald und Umwelt,Ebersberg,www.museumwaldundumwelt.de
Museum Eberswalde,Eberswalde,www.museum-eberswalde.de
Museum Eckernförde,Eckernförde,www.museum-eckernfoerde.de
Zinngrube Ehrenfriedersdorf,Ehrenfriedersdorf,https://web.saechsisches-industriemuseum.com/ehrenfriedersdorf.html
Museum Schloss Fasanerie,Eichenzell,www.schloss-fasanerie.de
Domschatz- und Diözesanmuseum Eichstätt,Eichstätt,www.bistum-eichstaett.de/dioezesanmuseum
Kulturstiftung Kornhaus,Einbeck,www.ps-speicher.de
Bachhaus Eisenach,Eisenach,www.bachhaus.de
Wartburg-Stiftung Eisenach,Eisenach,www.wartburg.de
